AtcoCode,CommonName,Easting,Northing,Longitude,LocalityName,Latitude,ShortCommonName,Street,Status,Indicator,StopType,,
700000000194,Elliott Dynes Rehabilitation Unit,332103,373415,-5.9571267935,Belfast Metro Ops,54.5917055105,,,active,,BusCoachTramOnStreetPoint,,
700000000195,Short Strand (Albert Bridge Road),335240,373925,-5.90838473,Belfast Metro Ops,54.5954554,,,active,,BusCoachTramOnStreetPoint,,
700000000196,Power Plant Terminus RVH,332057,373266,-5.9579048591,Belfast Metro Ops,54.590379891,,,active,,BusCoachTramOnStreetPoint,,
700000000198,RVH Stores,332045,373285,-5.958081829,Belfast Metro Ops,54.590553591,,,active,,BusCoachTramOnStreetPoint,,
700000000199,East Bridge Street (Central Station),334724,373928,-5.91636801,Belfast Metro Ops,54.59562206,,,active,,BusCoachTramOnStreetPoint,,
700000000200,Childrens Hospital,332149,373498,-5.9563783518,Belfast Metro Ops,54.5924386207,,,active,,BusCoachTramOnStreetPoint,,
700000000201,Gelstons Corner,337203,374558,-5.877754305,Belfast Metro Ops,54.6006093442,,,active,,BusCoachTramOnStreetPoint,,
700000000202,RVH Maternity Ward,332275,373589,-5.9543895013,Belfast Metro Ops,54.593222643,,,active,,BusCoachTramOnStreetPoint,,
700000000203,Ranfurly Drive,337386,374521,-5.8749420989,Belfast Metro Ops,54.6002275454,,,active,,BusCoachTramOnStreetPoint,,
700000000204,Institute Of Pathology,332449,373758,-5.9516233385,Belfast Metro Ops,54.5946943017,,,active,,BusCoachTramOnStreetPoint,,
700000000205,78 Belmont Road,337483,374511,-5.8734469997,Ulsterbus,54.6001114305,,,active,,BusCoachTramOnStreetPoint,,
700000000206,Institute Of Clinical Science,332456,373772,-5.9515088062,Belfast Metro Ops,54.5948181518,,,active,,BusCoachTramOnStreetPoint,,
700000000207,98 Belmont Road,337603,374485,-5.8716037885,Belfast Metro Ops,54.5998454137,,,active,,BusCoachTramOnStreetPoint,,
